Ward,Ward name,Borough name,Census 2011 dwellings,Median_GBP_1995,Median_GBP_1996,Median_GBP_1997,Median_GBP_1998,Median_GBP_1999,Median_GBP_2000,Median_GBP_2001,Median_GBP_2002,Median_GBP_2003,Median_GBP_2004,Median_GBP_2005,Median_GBP_2006,Median_GBP_2007,Median_GBP_2008,Median_GBP_2009,Median_GBP_2010,Median_GBP_2011,Median_GBP_2012,Median_GBP_2013,Median_GBP_2014,Mean_GBP_1995,Mean_GBP_1996,Mean_GBP_1997,Mean_GBP_1998,Mean_GBP_1999,Mean_GBP_2000,Mean_GBP_2001,Mean_GBP_2002,Mean_GBP_2003,Mean_GBP_2004,Mean_GBP_2005,Mean_GBP_2006,Mean_GBP_2007,Mean_GBP_2008,Mean_GBP_2009,Mean_GBP_2010,Mean_GBP_2011,Mean_GBP_2012,Mean_GBP_2013,Mean_GBP_2014,Sales1995,Sales1996,Sales1997,Sales1998,Sales1999,Sales2000,Sales2001,Sales2002,Sales2003,Sales2004,Sales2005,Sales2006,Sales2007,Sales2008,Sales2009,Sales2010,Sales2011,Sales2012,Sales2013,Sales2014
E09000001,City of London,City of London,5513,106500,125000,135000,167500,180000,200000,237000,250000,284000,280000,310000,341000,412500,365000,410000,450000,465000,485000,615000,765000,152063.5871,138717.5855,159550.6332,219029.4505,225810.5224,229970.9675,253069.6219,270679.3811,319902.3946,289917.7692,324347.3168,375937.3763,481308.4478,412343.6879,452185.5669,517386.0085,541191.582,539915.2718,774008.2494,888592.5243,155,275,319,424,536,431,365,391,479,377,303,295,268,141,157,235,256,195,433,309
E05000026,Abbey,Barking and Dagenham,4733,57375,65000,61100,64997.5,77500,80250,83000,120450,136750,154500,160000,169995,166496,180000,148000,146500,177000,141000,150000,173000,64585.625,65453.18182,65777.65041,69548.58721,78429.09483,84330.95732,90902.09524,118471.2509,144846.2276,158850.6245,170132.1838,175705.3796,181405.9641,180628.2368,155793.8438,165203.6301,177208.8739,168026.5833,175077.9213,194923.8079,32,44,123,172,116,164,210,283,268,269,185,245,529,152,128,146,111,60,89,151
E05000027,Alibon,Barking and Dagenham,4045,52997.5,53775,56995,59250,62000,75000,89000,110000,138000,156000,159500,164000,183000,190000,150000,160000,160000,163000,174000,215000,55749.72222,56483.39286,56787.53846,59518.31395,63433.27434,75317.69492,92006.50376,110737.6564,141078.3668,154792.8042,161249.3483,161674.1816,182287.3084,188817.0732,152298.3077,158006.8056,163418.2353,161771.1644,175958.2405,207258.9916,18,28,65,86,113,118,133,163,199,189,178,347,214,82,65,72,68,73,79,119
E05000028,Becontree,Barking and Dagenham,4378,55500,59000,59250,59995,64500,75000,89972.5,114500,140000,157000,160000,165000,190000,190000,160000,181995,170000,173000,180000,210000,57827.8125,61531.875,60741.5935,64153.70079,65211.26554,77663.72121,95282.94958,117064.5251,141291.7671,157951.3195,161610.297,172637.6126,192697.7018,197442.9208,160854.75,186719.8994,180885.76,178497.8912,182457.9672,207737.3298,32,72,123,127,177,165,238,179,249,266,165,222,218,101,60,159,175,147,244,191
E05000029,Chadwell Heath,Barking and Dagenham,4050,65875,66000,74250,78750,90000,90000,108000,128000,160000,177000,179000,190000,215000,200000,185500,180000,195000,205000,205000,240500,68542.1875,68463.55932,76786.4,87373.125,91430.77083,93792.1371,107551.7628,132965.2924,160623.1343,174601.6543,178134.8837,189997.5667,209992.4555,196432.4653,176372.7143,185218.1609,191157.5342,196344.7126,200166.7172,229761.3889,64,59,70,96,96,124,156,171,134,162,129,180,191,101,70,87,73,87,99,108
E05000030,Eastbrook,Barking and Dagenham,3976,64000,66000,68000,79000,87000,102000,107000,128250,155000,175000,177500,182000,210000,210000,175000,187500,191750,197500,204000,240000,63993.28571,66644.10127,71436.27049,84557.48756,91138.78261,108640.0739,109468.655,130680.4703,156107.4278,176859.7778,181491.1959,187655.9626,207290.4529,211070.3883,178283.2069,191398.2813,192529.85,196587.9762,200651.6881,234632.1705,63,79,122,201,230,203,200,202,187,207,148,187,223,103,87,96,100,84,109,129
E05000031,Eastbury,Barking and Dagenham,4321,56000,56000,58000,59995,65995,78000,88000,120250,140000,160000,166000,168000,185500,193000,155625,170000,167250,182000,189995,220000,56071.32353,56235.95122,58600.9726,62141.23656,67514.48624,82285.64758,90507.42515,120173.774,140983.272,161316.9575,166326.9527,170599.177,191155.2532,198623.5354,160454.4079,174955.8696,168236.6667,180104.04,187820.6316,214923.6667,34,41,73,93,109,227,167,208,239,212,169,243,237,99,76,92,60,75,95,105
E05000032,Gascoigne,Barking and Dagenham,4662,57000,59000,58000,59000,67747.5,77000,87000,113000,145000,172000,155000,165000,193997.5,189995,152500,148747.5,145000,158500,162000,200000,56686.875,57605.35714,58069.28571,59570.26531,70405.39063,75195.80435,87863.44,110924.5133,141505.5278,167346.5801,155354.1667,163667.6531,195913.5266,187661.2588,141272.189,149826.8519,147176.9828,153210,160716.8644,198893.6207,8,14,35,49,64,92,125,113,144,231,102,147,188,85,127,54,58,50,59,87
E05000033,Goresbrook,Barking and Dagenham,4293,54000,54995,54250,58000,62000,73750,85000,107000,136995,149000,155000,159997.5,180750,180000,150000,163000,155000,165000,172500,205000,54499.4,54934.34783,56375.72222,58660.52632,63108.05405,73894.54861,84960.58385,107280.3553,134147.3954,146483.2364,155631.0643,162782.0539,187493.3036,179798.928,153810.6329,163442.2222,156191.25,165002.7465,168217.2941,199651.578,25,23,54,95,111,144,161,197,263,258,140,204,224,125,79,63,64,71,85,109
E05000034,Heath,Barking and Dagenham,4409,56250,57500,57500,63000,65750,75995,86500,114000,140500,160500,162500,165000,182500,197375,156000,160000,155000,163000,168500,215000,57797.11538,57285.85366,59284.64286,64797.9875,66546.29412,76850.31683,89498.86755,111824.4249,138364.7667,161231.0136,171390.7554,172815.3284,181330.4278,192816.7742,155458.6275,174263.1183,161886.9882,159908.8393,166662.2078,206202.619,26,41,56,80,85,101,151,193,180,147,184,201,194,62,51,93,85,56,77,105
